Employee_ID,Employee_Gender,Salary,Birth_Date,Employee_Hire_Date,Employee_Term_Date,Marital_Status,Dependents
120160,M,27115,-479,6848,,M,1
120161,F,30785,11754,18536,,S,0
120162,M,27215,11936,18294,,M,3
120163,M,26735,3064,12784,,M,3
120164,F,27450,1425,9528,,M,2
120165,M,27050,10305,18322,,S,0
120166,M,30660,-4218,6575,18505,S,0
120167,F,25185,-607,6606,18352,S,0
120168,F,25275,10310,18567,,M,1
120169,M,28135,10228,18383,,M,3
120170,M,28830,6630,13423,18566,S,0
120171,F,26205,10427,18506,,M,3
120172,M,28345,-4292,6575,,M,3
120173,M,26715,-677,7822,17744,M,3
120174,F,26850,-4374,6575,18200,S,0
120175,M,25745,11918,18536,,S,0
120176,M,26095,11270,18567,,M,1
120177,F,28745,8495,15372,,S,0
120178,M,26165,-404,6665,,M,3
120179,M,28510,6648,17532,17775,M,1
120180,M,26970,-553,8370,,S,0
120181,F,27065,12020,18597,18717,S,0
120182,M,25020,10505,18597,18627,M,2
120183,M,26910,5001,18597,18627,M,1
120184,M,25820,-2222,18597,18747,O,2
120185,F,25080,6671,18597,18658,M,2
120186,F,26795,8509,18597,18808,O,1
120187,F,26665,10571,18597,18778,M,1
120188,F,26715,-671,18597,18627,M,2
120189,M,25180,10411,18597,18717,S,0
120190,M,24100,10566,17837,18017,M,2
120191,F,24015,1112,17167,17347,S,0
120192,M,26185,10355,18049,18231,M,2
120193,M,24515,10567,18141,18321,S,0
120194,M,25985,10493,17929,18109,M,1
120195,F,24990,10586,18444,18627,S,0
120196,F,24025,10257,17167,17347,S,0
120197,F,25580,-511,17167,17347,M,2
120198,F,28025,11708,18597,,M,1
120259,M,433800,2946,12297,,M,1
120260,F,207885,3258,10532,,M,2
120261,M,243190,4800,11535,,O,1
120262,M,268455,5042,11932,,M,2
120263,M,42605,2962,10135,17531,S,0
120264,F,37510,10249,18597,,S,0
120265,F,51950,-4106,6575,17166,M,3
120266,F,31750,4930,12144,,M,2
120267,F,28585,11110,17198,,M,1
120268,M,76105,6818,15096,,S,0
120269,F,52540,-4113,6575,17652,M,2
120270,M,48435,-647,6575,,O,0
120271,F,43635,3140,11201,,M,1
120272,M,34390,-4309,6575,,S,0
120273,F,28455,11115,18322,,M,2
120274,F,26840,2930,13849,,O,0
120275,F,32195,1456,10501,,M,2
120276,M,28090,-4033,6575,17317,M,3
120277,F,32645,11916,17653,18048,S,0
120278,M,27685,11308,18475,,M,3
120279,F,32925,5041,14731,,S,0
120280,F,36930,3237,11809,16982,M,1
120656,F,42570,6602,15765,,O,0
120657,F,36110,2928,12723,,S,0
120658,M,42485,-377,9163,,O,2
120659,M,161290,-2360,6575,,M,3
120660,M,61125,8192,17957,,S,0
120661,F,85495,-400,10227,17347,M,3
120662,M,27045,11864,18567,,S,0
120663,F,56385,4833,15035,,S,0
120664,M,47605,-682,7060,,M,3
120665,F,80070,6871,16861,,M,1
120666,M,64555,4921,13118,17652,S,0
120667,M,29980,8572,18294,,S,0
120668,M,47785,-2261,8370,,O,0
120669,M,36370,-4179,6575,,S,0
120670,M,65420,-4298,6575,17166,S,0
120671,M,40080,-584,9893,,S,0
120672,M,60980,3159,13209,,M,1
120673,F,35935,-4205,6575,,S,0
120677,F,65555,4993,13546,,M,2
120678,F,40035,-2545,8156,17409,S,0
120679,F,46190,7616,16983,,M,3
120680,F,27295,4985,12904,,S,0
120681,M,30950,8624,17623,,M,2
120682,F,26760,5102,14701,,M,1
120683,F,36315,-415,6575,17225,M,2
120684,F,26960,11287,18567,,S,0
120685,F,25130,10287,18567,,M,3
120686,F,26690,-4256,6575,,M,1
120687,F,26800,8545,17745,17928,O,0
120688,F,25905,-2198,6575,17044,S,0
120689,F,27780,8601,18444,,S,0
120690,F,25185,10243,17867,,S,0
120691,M,49240,-4125,6575,,S,0
120692,M,32485,-405,9587,,M,2
120693,M,26625,1217,8552,,M,3
120694,F,27365,11916,18353,,O,1
120695,M,28180,3116,12235,18474,S,0
120696,M,26615,-505,6634,18352,M,2
120697,F,29625,11866,18414,,O,0
120698,M,26160,-594,7518,17956,O,0
120710,M,54840,6902,15341,,O,1
120711,F,59130,4896,13939,,O,0
120712,F,63640,-2394,6575,,S,0
120713,M,31630,-4330,6575,,M,3
120714,M,62625,7399,15584,,M,3
120715,F,28535,8563,17929,,M,3
120716,M,53015,6779,13727,,M,1
120717,M,30155,-722,9344,,O,2
120718,M,29190,3111,12539,,S,0
120719,F,87420,4770,14641,,M,1
120720,M,46580,3049,13240,,M,2
120721,F,29870,-4089,6575,,M,3
120722,M,32460,1360,10866,,S,0
120723,F,33950,-2335,6575,,O,0
120724,M,63705,2948,13240,,S,0
120725,M,29970,8697,17684,17897,S,0
120726,F,27380,11870,18506,,M,1
120727,M,34925,3098,11109,,M,1
120728,F,35070,-393,9497,,M,1
120729,F,31495,11781,17281,18163,M,3
120730,M,30195,3272,11962,,M,3
120731,M,34150,1169,10105,,O,1
120732,M,35870,-2331,6575,,M,1
120733,M,31760,3015,12723,,M,1
120734,M,34270,8516,18322,,S,1
120735,F,61985,-567,8156,,S,0
120736,F,63985,3253,13057,,S,0
120737,F,63605,1182,11993,,M,2
120738,F,30025,-2370,6575,,S,0
120739,M,36970,11176,18383,,S,0
120740,F,35110,-2265,6575,17409,O,1
120741,F,36365,-4051,6575,,M,2
120742,M,31020,-4349,6575,,S,0
120743,F,34620,4780,15127,,S,0
120744,F,33490,11858,17714,18200,M,2
120745,F,31365,11143,18414,,M,1
120746,M,46090,6857,16892,,M,3
120747,F,43590,6745,14457,,M,2
120748,F,48380,7491,17226,,M,3
120749,M,26545,6837,14884,,S,0
120750,F,32675,-573,8432,16832,M,2
120751,M,58200,3017,11901,,M,3
120752,M,30590,-683,7152,17286,S,0
120753,M,47000,7471,14092,,S,0
120754,M,34760,11841,18383,,M,1
120755,F,36440,3158,10074,,M,3
120756,F,52295,6625,14792,,M,3
120757,M,38545,-4306,6575,17713,M,3
120758,M,34040,3217,13423,,S,0
120759,M,36230,3230,9862,,S,0
120760,F,53475,4754,13635,,S,0
120761,F,30960,11319,18444,,O,2
120762,M,30625,8706,18322,,M,2
120763,M,45100,-4084,6575,,O,1
120764,M,40450,6930,17136,,S,0
120765,F,51950,-380,6575,,S,0
120766,F,53400,6883,16496,,M,1
120767,M,32965,3051,11413,,S,0
120768,M,44955,-528,9405,17500,M,3
120769,M,47990,6718,14701,,S,0
120770,F,43930,3036,11413,17286,S,0
120771,F,36435,-515,7640,,S,0
120772,M,27365,11786,18475,,S,0
120773,F,27370,1148,9222,,M,2
120774,F,45155,8295,16861,18201,M,3
120775,F,41580,4790,14915,,M,3
120776,M,32580,8664,16527,,S,0
120777,M,40955,4833,14000,,S,0
120778,F,43650,-389,10258,,S,0
120779,F,43690,7582,15035,,S,0
120780,F,62995,4992,13057,,M,3
120781,F,32620,11710,17867,18262,M,3
120782,F,63915,6907,15857,,S,0
120783,M,42975,6928,14610,,S,0
120784,F,35715,8514,17776,,O,1
120785,F,48335,4769,13666,,O,2
120786,F,32650,-4306,6575,,S,0
120787,M,34000,4982,14610,,M,1
120788,M,33530,4912,14214,,O,1
120789,M,39330,3117,9831,17317,M,2
120790,F,53740,6915,14365,,S,0
120791,M,61115,3129,11231,,M,2
120792,F,54760,7383,15188,,M,2
120793,M,47155,4968,14762,,S,0
120794,F,51265,8400,17348,,S,0
120795,M,49105,4764,11901,17197,S,0
120796,M,47030,-599,9921,,M,2
120797,F,43385,-410,8005,,M,3
120798,F,80755,1269,11323,,O,1
120799,M,29070,8482,15645,,M,3
120800,M,80210,6928,15127,17197,S,0
120801,F,40040,6639,15887,,M,2
120802,F,65125,-2426,8036,17713,S,0
120803,M,43630,-574,8036,,S,0
120804,M,55400,-4342,6575,,S,0
120805,M,58530,8213,16162,,M,3
120806,F,47285,6630,13180,,M,2
120807,F,43325,1443,9497,17775,S,0
120808,M,44425,3074,10379,,S,0
120809,F,47155,-4370,6575,,S,0
120810,M,58375,-454,8826,,S,0
120811,M,43985,5017,13696,,S,0
120812,M,45810,6624,16649,,O,1
120813,M,50865,5005,13515,17531,S,0
120814,M,59140,1249,8644,,M,1
120815,M,31590,12049,18353,,M,2
120816,F,30485,4871,13727,,S,0
120992,F,26940,8448,16284,,S,0
120993,F,26260,5100,15035,,M,2
120994,F,31645,6741,14184,,S,0
120995,F,34850,10391,18475,,M,1
120996,M,32745,6776,17045,,M,3
120997,F,27420,6899,14854,,S,0
120998,F,26330,8740,17988,,M,1
120999,F,27215,1457,10318,,S,0
121000,M,48600,2946,13849,,M,2
121001,M,43615,1116,7914,,S,0
121002,F,26650,-470,8735,17775,M,3
121003,M,26000,11813,18444,,S,0
121004,M,30895,-4168,6575,,S,0
121005,M,25020,10423,17563,,O,2
121006,M,26145,11242,17837,18201,M,2
121007,M,27290,3207,11354,,M,3
121008,M,27875,4932,13727,,M,1
121009,M,32955,8738,15918,,S,0
121010,M,25195,10453,18322,,S,0
121011,M,25735,-4313,6575,,S,0
121012,M,29575,10983,17410,17866,S,0
121013,M,26675,8518,16162,,S,0
121014,F,28510,6695,15918,,M,3
121015,M,26140,8747,16315,,S,0
121016,F,48075,7323,17776,,S,0
121017,M,29225,10232,17957,,S,0
121018,F,27560,-4381,6575,17286,M,2
121019,M,31320,11133,17684,18109,M,3
121020,F,31750,10280,16922,,M,1
121021,F,32985,6918,13939,,S,0
121022,M,32210,8701,16833,17775,S,0
121023,M,26010,2994,12174,18140,M,3
121024,M,26600,10491,17653,,M,2
121025,M,28295,-2274,7183,,S,0
121026,M,31515,11269,18353,,M,1
121027,M,26165,3047,12388,,M,3
121028,M,26585,11805,18567,,S,0
121029,M,27225,3278,12388,,M,2
121030,M,26745,8716,16468,,S,0
121031,M,28060,3112,10805,,M,3
121032,M,31335,11742,18322,,M,1
121033,F,29775,11267,17684,,M,3
121034,M,27110,11923,18628,,S,0
121035,M,26460,-4299,6575,,M,3
121036,F,25965,11887,17440,18201,O,1
121037,M,28310,6737,16861,,M,2
121038,M,25285,11731,18475,18659,S,0
121039,M,27460,-577,8887,,M,2
121040,F,29525,1282,9801,,M,2
121041,F,26120,-4349,6575,,S,0
121042,M,28845,8494,16010,,M,2
121043,F,28225,5061,13209,,M,2
121044,M,25660,-386,7152,,S,0
121045,F,28560,3086,13880,17591,M,2
121046,M,25845,10477,18444,18628,M,1
121047,F,25820,8730,18506,18687,M,2
121048,F,26560,10402,18506,18687,M,3
121049,F,26930,11002,18597,,M,3
121050,F,26080,10969,18597,,M,3
121051,F,26025,-2435,8340,,M,2
121052,M,26900,10966,18567,,S,0
121053,F,29955,-4117,6606,,M,2
121054,M,29805,-415,7610,,S,0
121055,M,30185,11695,18475,,M,1
121056,F,28325,10413,17287,,O,1
121057,M,25125,1455,9101,,M,1
121058,M,26270,6767,17075,,M,2
121059,F,27425,1393,9222,17531,S,0
121060,F,28800,-4224,6575,,M,2
121061,M,29815,-534,10409,,S,0
121062,F,30305,10528,18475,,M,3
121063,M,35990,8608,18110,,S,0
121064,M,25110,2949,13027,,M,1
121065,F,28040,10475,18353,,M,2
121066,F,27250,-4148,6575,18201,O,1
121067,F,31865,10975,18322,18506,S,0
121068,M,27550,5084,13393,,O,1
121069,M,26195,4826,12692,,M,1
121070,F,29385,10535,18294,,O,1
121071,M,28625,1348,7914,,M,2
121072,M,26105,8410,17776,18201,M,1
121073,M,27100,-2422,6575,,M,1
121074,M,26990,1155,11962,,S,0
121075,F,28395,-4026,6575,,M,3
121076,M,26685,3204,9862,17683,M,2
121077,M,28585,10475,18536,,S,0
121078,M,27485,-2436,8340,,M,1
121079,M,25770,6728,15280,,M,1
121080,M,32235,1119,11566,,S,0
121081,F,30235,-2470,7396,,M,2
121082,M,28510,-2371,7944,,M,3
121083,F,27245,1165,8460,,S,0
121084,M,22710,3150,12784,,M,3
121085,M,32235,11273,18628,,S,0
121086,M,26820,-4033,6575,,M,3
121087,F,28325,6915,15765,18352,M,3
121088,M,27240,11849,18628,,S,0
121089,M,28095,-498,6756,18566,M,1
121090,F,26600,-561,8797,,M,3
121091,M,27325,4798,12054,,M,2
121092,F,25680,6641,17014,,S,0
121093,M,27410,3121,13880,17347,M,2
121094,M,26555,-724,8279,,S,0
121095,F,28010,4852,12965,,S,0
121096,M,26335,4886,14365,,S,0
121097,F,26830,6870,14518,,M,3
121098,M,27475,11769,18383,,S,0
121099,M,32725,8478,16192,,M,3
121100,M,28135,-2440,7396,,S,0
121101,F,25390,11197,18567,,O,1
121102,F,27115,8577,18414,,M,2
121103,M,27260,11806,18506,,S,0
121104,F,28315,3238,11048,16832,S,0
121105,F,29545,8529,17167,,S,0
121106,M,25880,4781,14641,,M,3
121107,F,31380,11071,18444,,M,1
121108,F,25930,11873,18567,18748,S,0
121109,M,26035,5057,12539,,M,1
121110,M,26370,-4279,18597,18627,M,1
121111,M,26885,-4185,18597,18747,S,0
121112,M,26855,11304,18597,18627,S,0
121113,F,27480,-679,18597,18658,O,1
121114,F,26515,-4075,18597,18808,M,3
121115,M,26430,1139,18597,18747,S,0
121116,F,26670,3188,18597,18717,M,3
121117,F,26640,6651,18597,18627,S,0
121118,M,25725,8460,18597,18778,S,0
121119,M,25205,3229,18597,18686,M,3
121120,F,25020,6872,18597,18686,S,0
121121,F,25735,11021,18597,18778,S,0
121122,M,26265,11017,18597,18717,S,0
121123,M,26410,-4266,18597,18717,M,3
121124,M,26925,4794,18597,18627,S,0
121125,M,25315,6681,17167,17347,S,0
121126,M,26015,-432,17167,17347,M,1
121127,F,25435,11203,18049,18231,M,2
121128,F,25405,6751,17167,17347,M,3
121129,M,30945,3043,17167,17347,S,0
121130,M,25255,10247,17563,17744,S,0
121131,M,25445,4929,17167,17347,M,2
121132,M,24390,-692,17167,17347,M,1
121133,M,25405,8714,17167,17347,M,1
121134,M,25585,3105,17167,17347,S,0
121135,F,27010,-573,6787,,S,0
121136,F,27460,6770,17136,17805,S,0
121137,M,27055,11705,18353,,O,0
121138,M,27265,-2498,6575,,M,1
121139,F,27700,1326,11504,,M,2
121140,M,26335,8423,16527,18293,S,0
121141,M,194885,-4213,6575,,S,0
121142,M,156065,4793,13635,,M,2
121143,M,95090,5078,15157,,M,3
121144,F,83505,3101,13088,,M,3
121145,M,84260,-2231,7396,,M,2
121146,F,29320,11300,18353,,M,1
121147,F,29145,4896,11566,,M,2
121148,M,52930,4749,15341,17197,M,1
