Series1,Series2,Series3,Series4
0.4123094,0.6904406,29.78207,3.774605
-0.3301922,0.05820252,29.83895,0.954456
1.981027,-0.7802626,28.58563,-0.5318258
0.37767,-0.7421236,28.38452,-3.527208
-0.9363553,1.630182,29.96367,-6.326963
-0.7660268,0.8239815,30.23786,-8.585591
-0.2601685,-4.161211,29.32338,-11.15784
-1.801777,1.855354,28.90621,-12.67697
-0.306076,-1.835781,28.33449,-13.7991
-0.01110205,0.891664,29.76769,-13.04695
-1.676671,1.575076,28.83548,-13.22038
-1.312536,-0.7674873,27.44599,-13.02219
-0.8799656,-1.469574,24.65283,-13.50517
-0.7019925,1.812933,23.62632,-13.99305
-2.441136,-1.960904,23.11429,-16.43305
-1.620299,2.673915,23.4084,-16.38062
-2.223814,-2.091762,23.54442,-17.22391
-0.9525938,1.979082,22.84404,-17.0045
-1.48394,-0.5685456,21.64875,-18.6424
-1.106144,1.963938,19.71819,-19.07193
-0.8578097,-1.197226,19.36788,-18.2569
-0.8866411,0.1610106,20.28456,-18.31506
-1.833242,1.588348,19.77096,-18.25649
-1.404574,0.01925698,19.27731,-17.80438
-0.5759732,0.1555234,18.68454,-16.89337
0.5837729,-1.104244,18.72291,-14.32941
0.1575068,-0.5766506,18.5384,-12.28095
-0.153867,1.739449,19.36493,-12.79423
-1.080413,-2.31478,20.13117,-12.5123
-0.08945784,0.5337858,20.1342,-12.78681
0.3403785,1.528481,20.10227,-11.84273
0.4495126,-2.136271,21.63388,-12.33578
-0.02358802,0.7972168,23.03111,-12.29209
1.495708,-1.034864,23.93108,-13.29482
1.251847,0.2291473,24.05564,-13.05131
1.023422,-0.3587142,23.74105,-14.67594
-0.6504058,0.6966652,24.31526,-13.03564
0.3619957,1.377129,23.77426,-14.40738
1.667632,-1.172714,21.27684,-13.88404
0.1349432,-0.3544557,20.50266,-13.21369
-0.5025266,0.3765725,19.80304,-11.38445
-1.297611,1.493822,18.65839,-10.29837
-1.128175,-1.890115,17.0866,-10.6816
-1.978135,1.822492,18.18742,-10.58464
-2.771879,-1.545367,18.18429,-10.23555
-2.208832,1.355189,17.11843,-9.085187
-2.671508,-1.432467,17.5577,-8.315654
-0.4773622,2.430771,17.55307,-9.396653
0.3994125,-1.791279,17.70809,-10.44194
-0.1177657,-0.4643987,18.93207,-11.54405
1.444837,1.743071,17.68898,-12.63723
0.0960994,-2.559014,16.43358,-13.71049
-0.6942771,2.754348,17.08104,-14.67295
-1.167778,,17.77476,-16.6626
0.1448016,,18.22472,-16.95041
-0.4529714,,18.71548,-16.91521
2.184846,,18.43871,-17.40961
1.01684,,17.0631,-17.07007
1.221932,,16.84678,-17.01855
0.09091097,,15.39489,-14.68179
-0.3349702,,13.2684,-12.15259
-0.7554873,,11.66594,-9.463976
0.08147869,,11.27129,-7.811202
2.670974,,10.80859,-4.508991
-0.6961266,,12.72972,-2.602991
-1.816727,,13.84236,-0.07520982
-0.6444912,,13.81394,1.557852
1.691592,,13.30057,2.657928
1.345013,,13.00845,3.654904
0.6342619,,12.29247,5.19845
-0.05174594,,12.64634,7.121462
1.125971,,11.36331,8.454501
-0.5529589,,11.88211,8.706084
0.08351798,,11.29854,8.108102
1.112876,,12.03905,7.858725
0.8409307,,10.69809,6.831359
0.3773023,,9.8409,6.49359
-1.899302,,9.811372,5.487737
0.5593461,,12.02806,4.717842
-0.6335449,,15.00959,3.981876
1.001813,,15.57219,3.628438
0.9711682,,16.59781,3.522078
0.2459723,,18.1704,2.840305
0.8717038,,20.37659,1.6954
0.7113185,,21.39919,0.4809859
1.299355,,23.93834,-1.115467
0.3574027,,25.69931,-0.5347116
0.2634196,,27.95775,0.6991225
0.7873683,,28.28338,1.425416
-0.7409458,,29.27148,3.692471
0.06444395,,29.90867,4.621131
-1.77643,,29.75038,6.161555
-2.047736,,27.88456,6.692487
-1.697148,,26.81755,5.903625
0.09682088,,26.05944,6.487718
1.696911,,26.39608,5.061882
0.8512954,,26.75382,3.255808
-1.341504,,28.74836,0.8484882
0.9952666,,29.73296,-0.6450491
1.192652,,30.08459,-0.4083435
0.1367206,,30.37209,0.2404764
-0.07485193,,30.74172,1.032532
-0.8962346,,30.88808,2.606222
0.1937045,,30.9946,3.154291
0.7551498,,30.9713,2.751199
0.8832348,,29.95244,3.192157
1.207528,,26.71834,2.906978
1.010368,,24.82659,3.314393
1.00266,,23.9059,3.969249
1.78745,,22.94454,4.9775
3.482303,,22.88236,5.776804
2.490122,,21.46823,6.06311
-0.881315,,20.16717,5.405843
-2.340618,,18.79862,5.497145
-0.3218483,,17.96757,4.306309
-1.17523,,16.01559,3.757092
0.8632591,,15.55969,0.996712
-0.296357,,15.45779,-0.5747108
1.539242,,14.27402,-2.466751
0.1977345,,14.32738,-4.180296
0.8047108,,13.04953,-6.993446
0.7887547,,10.83665,-9.977962
1.601735,,9.341183,-10.97728
0.4973741,,8.527063,-11.17385
1.032034,,9.17882,-12.19781
1.648606,,9.352445,-12.7225
1.215397,,11.52053,-14.14977
1.141585,,14.17663,-15.66592
-0.03743933,,16.10693,-18.01453
-0.3277684,,17.25847,-19.53951
-0.1706755,,16.54458,-22.80244
-1.909069,,15.30016,-24.32274
-0.1433431,,13.57709,-24.99698
-0.8514665,,12.79374,-26.13708
-1.127581,,10.04619,-25.98389
-1.26712,,8.767907,-24.79726
-0.255359,,7.77997,-24.68919
0.8205592,,6.09859,-24.0835
1.234675,,4.981664,-22.60071
-0.3168343,,4.674984,-22.41666
-1.319533,,4.249859,-21.77706
0.2094481,,2.296177,-22.44349
1.008537,,-0.25191,-23.35257
0.9157933,,-2.324038,-25.00441
1.557677,,-2.69618,-27.10682
0.6989989,,-3.949677,-27.23951
1.731088,,-5.047923,-28.64632
-1.080288,,-5.970989,-30.42794
0.1779037,,-6.745424,-31.28639
-1.598525,,-7.238647,-31.26786
-1.543025,,-6.783548,-30.8253
-2.115333,,-6.232421,-29.78575
-0.7899024,,-4.959231,-29.30157
